Inf,Club,Club Job,Preferred Job,Salary,Rating,WR,Tac Knw,Att,Def,Men,Tec,TCo,Mot,Det,Dis,Personality,Name
,FC Barcelona B,Coach,Coach,"$4,100 p/w",,,11,16,16,18,15,16,20,15,11,Resolute,Mark Hudson
,Everton,Head of Youth Development,Head of Youth Development,"$22,000 p/w",,,18,17,19,19,20,19,20,18,16,Driven,Neil Clarke
,FC Barcelona,Coach,Coach,"$9,250 p/w",,,15,11,18,16,17,18,16,16,15,Resolute,Ibán Cuadrado
,FC Barcelona,Physio,Physio,"$3,300 p/w",,,12,5,5,5,5,10,17,13,11,Balanced,Ricardo Sasaki
,Paris Saint-Germain,Data Analyst,Data Analyst,"$6,000 p/w",,,17,12,11,10,8,16,9,20,12,Determined,Romain Steiner
FrA,,-,Physio,-,,,1,5,5,5,5,5,14,20,1,Determined,Lieven Maesschalck
,Atalanta,Head of Youth Development,Head of Youth Development,"$15,000 p/w",,,17,17,20,17,14,17,20,16,3,Fairly Determined,Eugenio D'Andrea
,FC Barcelona,Loan Manager,Loan Manager,"$26,000 p/w",,,15,9,10,9,15,14,18,16,8,Fickle,Scott Humphrey
Bid,,-,Loan Manager,-,,,12,17,12,16,11,8,19,18,7,Driven,Gabri Portolés
,FC Barcelona,Chief Data Analyst,Data Analyst,"$12,500 p/w",,,17,12,16,12,12,18,14,16,15,Fairly Determined,Raúl Peláez
,FC Barcelona,Head Physio,Physio,"$5,250 p/w",,,5,5,5,6,5,5,20,18,20,Model Professional,Juanjo Brau
,FC Barcelona,General Manager,General Manager,"$30,000 p/w",,,15,10,10,9,10,15,16,17,14,Resilient,Fabio Paratici
FrA,,-,Technical Director,-,,,14,15,18,18,13,16,16,19,14,Driven,Alan Harker
Bid,,-,Technical Director,-,,,17,17,20,17,19,18,20,15,7,Spirited,Xurxo Garrido
FrA,,-,Loan Manager,-,,,15,17,16,15,13,13,20,12,19,Balanced,Michael Hall
,Stade Rennais,Assistant Coach,Assistant Coach,"$13,000 p/w",,,9,11,18,15,16,16,20,19,12,Model Professional,Vincent Kompany
,Paris Saint-Germain,Sports Scientist,Sports Scientist,"$7,000 p/w",,,8,9,8,8,9,8,17,19,6,Driven,Mathieu Lacome
,CD Leganés,Head of Sports Science,Sports Scientist,"$7,750 p/w",,,13,15,12,9,6,9,19,20,8,Determined,Guillermo Peris
,Leicester,Assistant Coach,Assistant Coach,"$17,250 p/w",,,15,16,15,11,13,18,14,17,10,Resolute,Steve Round
,Alavés,Assistant Coach,Assistant Coach,"$10,000 p/w",,,13,13,12,16,13,19,19,13,16,Fairly Professional,Xavier Tamarit
FrA,,-,General Manager,-,,,12,10,10,10,10,10,16,12,10,Balanced,Raul Sanllehí
FrA,,-,Technical Director,-,,,10,12,16,16,15,12,19,20,9,Driven,Stefan Lehmann
FrA,,-,Loan Manager,-,,,13,18,11,12,7,13,17,13,18,Fairly Ambitious,Tim Hargreaves
FrA,,-,Loan Manager,-,,,12,14,9,13,15,9,16,19,4,Driven,Rob White
,FC Barcelona,Goalkeeping Coach,Goalkeeping Coach,"$5,750 p/w",,,6,5,6,12,5,6,20,17,15,Resolute,José Ramón De la Fuente
,Borussia Mönchengladbach,General Manager,General Manager,"$25,500 p/w",,,7,7,9,9,9,7,13,12,13,Professional,Max Eberl
,Crystal Palace,Chief Scout,Scout,"$10,500 p/w",,,17,17,8,12,10,11,9,13,13,Fairly Professional,Malcolm Elias
,SD Eibar,Head of Youth Development,Head of Youth Development,"$7,500 p/w",,,15,16,13,17,13,18,18,17,6,Fairly Determined,Jaime Fuentes
,Wolves,Head of Sports Science,Sports Scientist,"$6,000 p/w",,,2,4,3,8,4,5,19,14,10,Fairly Professional,Tony Strudwick
,Danok Bat,Head Coach,Head Coach,"$1,200 p/w",,,11,15,11,12,15,11,20,17,10,Fairly Determined,Zubi
,Leicester,Fitness Coach,Fitness Coach,"$2,300 p/w",,,8,6,6,8,8,8,18,12,11,Balanced,Mitchell Willis
,Southampton,Loan Manager,Loan Manager,"$2,300 p/w",,,14,10,10,10,10,10,19,16,5,Fairly Determined,Matt Hale
,Bournemouth,Fitness Coach,Fitness Coach,"$1,400 p/w",,,6,8,6,7,6,6,20,15,12,Fairly Determined,Noel Carroll
,Juventus,B Team Physio,Physio,"$5,750 p/w",,,10,5,5,5,5,7,16,14,11,Balanced,Daniel Cansino
FrA,,-,Technical Director,-,,,16,13,17,16,12,16,15,15,12,Resolute,Robbie Forde
,Villarreal,Head of Youth Development,Head of Youth Development,"$10,000 p/w",,,17,14,14,14,14,15,16,16,10,Fairly Determined,Raúl Herrera
,Alavés,Head of Youth Development,Head of Youth Development,"$8,250 p/w",,,15,14,20,17,17,17,20,17,3,Fairly Determined,Mikel González
,Huddersfield,Scout,Scout,"$1,600 p/w",,,16,6,6,8,8,10,7,15,13,Fairly Determined,Chris Baker
,Crystal Palace,Fitness Coach,Fitness Coach,"$2,400 p/w",,,8,5,6,8,6,8,20,14,9,Balanced,Chris Petrie
,Leicester,Head of Youth Development,Head of Youth Development,"$4,800 p/w",,,7,13,17,15,16,10,20,15,8,Fairly Determined,Ian Cawley
